Port_Speed(mbps),A_CHIP_TYPE,Z_CHIP_TYPE,NUM_LANES,Modulation,FEC,MEDIA_TYPE,A_Interface_Type,Z_Interface_Type
10000,NPU,TRANSCEIVER,1,NRZ,NONE,COPPER,CR,
25000,NPU,TRANSCEIVER,1,NRZ,NONE,COPPER,CR,
100000,NPU,TRANSCEIVER,4,NRZ,RS528,OPTICAL,SR4,
100000,NPU,TRANSCEIVER,4,NRZ,RS528,COPPER,CR4,
100000,NPU,TRANSCEIVER,1,PAM4,RS544_2N,OPTICAL,KR4,
200000,NPU,TRANSCEIVER,4,PAM4,RS544_2N,OPTICAL,KR4,
400000,NPU,TRANSCEIVER,4,PAM4,RS544_2N,OPTICAL,KR4,
400000,NPU,TRANSCEIVER,4,PAM4,RS544_2N,COPPER,CR4,
800000,NPU,TRANSCEIVER,8,PAM4,RS544_2N,OPTICAL,CR8,
800000,NPU,TRANSCEIVER,8,PAM4,RS544_2N,COPPER,KR8,
